activation,alpha,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
relu,0.1,dominant,10.0,"(16,)",8.430266111136891,-7.438706098162292,1,0.9915600129745991,13
relu,0.1,dominant,10.0,"(16,)",8.580492867500498,-7.589758851260475,1,0.9907340162400218,14
relu,0.1,dominant,10.0,"(16,)",12.304564113863524,-11.314650041052378,1,0.9899140728111454,15
relu,0.1,dominant,10.0,"(16,)",7.487143136544137,-6.496975918183281,1,0.9901672183608559,16
relu,0.1,dominant,10.0,"(16,)",10.306480769305777,-9.31702265035134,1,0.9894581189544367,17
relu,0.1,dominant,10.0,"(16,)",7.610904328426796,-6.623025969211959,1,0.9878783592148368,18
relu,0.1,dominant,10.0,"(16,)",10.859712837784794,-9.871685738411347,1,0.9880270993734463,19
tanh,0.1,dominant,10.0,"(16,)",64.29322906144368,-63.30338317550476,1,0.9898458859389173,0
tanh,0.1,dominant,10.0,"(16,)",65.19948817928369,-64.20933386577161,1,0.9901543135120796,1
tanh,0.1,dominant,10.0,"(16,)",64.80131986999815,-63.81324897326516,1,0.9880708967329905,2
tanh,0.1,dominant,10.0,"(16,)",72.34063055001948,-71.3511364646062,1,0.9894940854132809,3
tanh,0.1,dominant,10.0,"(16,)",63.011079492552234,-62.02301056143472,1,0.9880689311175196,4
tanh,0.1,dominant,10.0,"(16,)",64.43720769613263,-63.44705542606056,1,0.9901522700720714,5
tanh,0.1,dominant,10.0,"(16,)",68.88953360079104,-67.90033573643734,1,0.9891978643536986,6
tanh,0.1,dominant,10.0,"(16,)",78.30258261750475,-77.31355034385348,1,0.9890322736512729,7
tanh,0.1,dominant,10.0,"(16,)",64.28627781919839,-63.29682000375273,1,0.9894578154456629,8
