dgp,drift_z,logreg_logloss,mlp_excess_logloss,mlp_logloss,n_test_class1,n_train_class1,seed,trial,weighted_drift_score
sinusoidal_binary,20.0,9.992007221626413e-16,8.266559142382677e-09,8.2665601415834e-09,500,997,1,1,14.386992473049213
sinusoidal_binary,20.0,9.992007221626413e-16,1.1291887226207054e-06,1.1291887236199061e-06,500,985,1,2,14.313742986342433
linear_binary,0.0,0.6779022443164562,0.00664795705565846,0.6845502013721146,257,998,2,0,0.09875298275154876
linear_binary,0.0,0.6736847722971345,0.0014288190859098604,0.6751135913830444,242,970,2,1,0.02425820134110251
linear_binary,0.0,0.6887314418292778,0.003332049363106715,0.6920634911923845,243,1008,2,2,0.03702812922761396
linear_binary,1.0,0.6707225772546918,0.0018040716098439713,0.6725266488645357,294,998,2,0,0.6329236465756918
linear_binary,1.0,0.6620171912441027,0.00283585969511424,0.664853050939217,290,970,2,1,0.7085818268479441
linear_binary,1.0,0.673052705901429,0.004274349555947854,0.6773270554573768,282,1008,2,2,0.7611261004606168
linear_binary,2.0,0.6276207660845547,0.0011193541514292749,0.628740120235984,338,998,2,0,1.3447324096929731
linear_binary,2.0,0.6339119795870181,0.0042595560478904115,0.6381715356349085,322,970,2,1,1.4167455940346598
linear_binary,2.0,0.6374490794162223,0.0038501652852324098,0.6412992447014547,327,1008,2,2,1.4852240716936185
linear_binary,3.0,0.5748623904685978,0.0005114306735208851,0.5753738211421187,368,998,2,0,2.05654117281025
linear_binary,3.0,0.5883212206660551,0.006428726048653188,0.5947499467147083,354,970,2,1,2.124909361221372
linear_binary,3.0,0.5740534333354598,0.004478589997240268,0.5785320233327,367,1008,2,2,2.209322042926622
linear_binary,5.0,0.44056064486249424,0.0075333727155586505,0.4480940175780529,419,998,2,0,3.4801586990448055
linear_binary,5.0,0.4765792711556474,0.010327943590217659,0.48690721474586507,406,970,2,1,3.5412368955947975
linear_binary,5.0,0.4700631428379212,0.0032040680602274385,0.47326721089814866,410,1008,2,2,3.65751798539263
linear_binary,7.0,0.2921051013199941,0.00785495041462031,0.29996005173461443,458,998,2,0,4.903776225279367
linear_binary,7.0,0.325322094947664,0.02323900214681851,0.3485610970944825,449,970,2,1,4.957564429968228
linear_binary,7.0,0.34778317414642584,0.0026019355335819006,0.35038510968000774,445,1008,2,2,5.105713927858634
linear_binary,10.0,0.12354823866835346,0.008394851755263194,0.13194309042361665,487,998,2,0,7.039202514631208
linear_binary,10.0,0.16537032531333984,0.028197410804557538,0.19356773611789738,480,970,2,1,7.082055731528378
linear_binary,10.0,0.1710366878372367,0.002125446633639616,0.1731621344708763,480,1008,2,2,7.278007841557633
linear_binary,15.0,0.03741857628232317,0.003231328815258179,0.040649905097581346,497,998,2,0,10.598246330217613
linear_binary,15.0,0.05838615080729558,0.013911849192038021,0.0722979999993336,495,970,2,1,10.62287456746195
linear_binary,15.0,0.05031269160690409,0.0009032355093780489,0.05121592711628214,496,1008,2,2,10.898497697722652
linear_binary,20.0,0.0015588773598303632,0.002323663102704478,0.003882540462534841,500,998,2,0,14.157290145804
linear_binary,20.0,0.000924777602586363,0.012891976590160482,0.013816754192746845,500,970,2,1,14.163693403395525
linear_binary,20.0,0.03779205777818183,-0.00028732173536872435,0.037504736042813104,497,1008,2,2,14.518987553887673
