activation,alpha,dgp,drift_target,drift_z,hidden,mlp_excess_harm,mlp_test_r2,phase,ridge_test_r2,seed
identity,0.0001,linear,dominant,10.0,"(8,)",0.0033473258324526745,0.9854973536250224,1,0.9888446794574751,4
identity,0.0001,linear,dominant,10.0,"(8,)",0.0058621847103372815,0.9831780349045552,1,0.9890402196148925,5
identity,0.0001,linear,dominant,10.0,"(8,)",0.0009246199623904605,0.9869895912066906,1,0.9879142111690811,6
identity,0.0001,linear,dominant,10.0,"(8,)",0.002946790593043258,0.9872253413637949,1,0.9901721319568382,7
identity,0.0001,linear,dominant,10.0,"(8,)",0.00714455292979177,0.9846707043696158,1,0.9918152572994076,8
identity,0.0001,linear,dominant,10.0,"(8,)",0.006870161144724052,0.9823169563038031,1,0.9891871174485272,9
identity,0.0001,linear,dominant,10.0,"(8,)",0.00977890313970009,0.9796238953004693,1,0.9894027984401694,10
identity,0.0001,linear,dominant,10.0,"(8,)",0.004181179135055557,0.9854343597694064,1,0.989615538904462,11
identity,0.0001,linear,dominant,10.0,"(8,)",0.004908241790629209,0.9856220135827968,1,0.990530255373426,12
identity,0.0001,linear,dominant,10.0,"(8,)",0.0017763889626770668,0.9887369394764748,1,0.9905133284391519,13
identity,0.0001,linear,dominant,10.0,"(8,)",0.010854549780377809,0.9740900326463533,1,0.9849445824267311,14
relu,0.1,linear,dominant,10.0,"(100,)",6.946072012722421,-5.95649031837111,1,0.9895816943513108,0
relu,0.1,linear,dominant,10.0,"(100,)",6.731794394642061,-5.741182061670721,1,0.9906123329713397,1
relu,0.1,linear,dominant,10.0,"(100,)",4.894024516424931,-3.9044035675705304,1,0.989620948854401,2
relu,0.1,linear,dominant,10.0,"(100,)",7.744448506854258,-6.753766694690616,1,0.9906818121636424,3
relu,0.1,linear,dominant,10.0,"(100,)",5.6062798984945665,-4.616182614545575,1,0.9900972839489919,4
relu,0.1,linear,dominant,10.0,"(100,)",7.33954927161405,-6.352242831157409,1,0.9873064404566407,5
relu,0.1,linear,dominant,10.0,"(100,)",5.899846275154676,-4.911178315549354,1,0.9886679596053219,6
relu,0.1,linear,dominant,10.0,"(100,)",7.1852397819388205,-6.196927928078892,1,0.9883118538599286,7
relu,0.1,linear,dominant,10.0,"(100,)",3.384851746998259,-2.395374980887523,1,0.9894767661107362,8
relu,0.1,linear,dominant,10.0,"(100,)",5.739312345025901,-4.7495482445238215,1,0.9897641005020794,9
relu,0.1,linear,dominant,10.0,"(100,)",6.215634240456328,-5.22738425495885,1,0.9882499854974781,10
relu,0.1,linear,dominant,10.0,"(100,)",5.599772640374762,-4.612553980127233,1,0.987218660247529,11
relu,0.1,linear,dominant,10.0,"(100,)",5.761302807970816,-4.7734263780770645,1,0.9878764298937515,12
relu,0.1,linear,dominant,10.0,"(100,)",5.6488329731346205,-4.659035229686352,1,0.9897977434482682,13
relu,0.1,linear,dominant,10.0,"(100,)",8.708492155794506,-7.718952296645364,1,0.9895398591491418,14
tanh,0.1,linear,dominant,10.0,"(100,)",48.565113885805715,-47.57755567909617,1,0.9875582067095454,0
tanh,0.1,linear,dominant,10.0,"(100,)",40.14549993562251,-39.15504899727677,1,0.9904509383457354,1
tanh,0.1,linear,dominant,10.0,"(100,)",49.99773483501721,-49.00858605591713,1,0.989148779100084,2
tanh,0.1,linear,dominant,10.0,"(100,)",48.15485479886882,-47.16652742425016,1,0.9883273746186538,3
tanh,0.1,linear,dominant,10.0,"(100,)",43.76899588009264,-42.779878136687856,1,0.9891177434047818,4
tanh,0.1,linear,dominant,10.0,"(100,)",49.727237364096034,-48.73750309414704,1,0.9897342699489939,5
tanh,0.1,linear,dominant,10.0,"(100,)",48.84278549268325,-47.85482235452147,1,0.987963138161782,6
tanh,0.1,linear,dominant,10.0,"(100,)",48.66877284384519,-47.67831252636933,1,0.9904603174758584,7
tanh,0.1,linear,dominant,10.0,"(100,)",50.10760765830292,-49.11754940437509,1,0.990058253927825,8
tanh,0.1,linear,dominant,10.0,"(100,)",47.243579205236074,-46.25599342741475,1,0.9875857778213246,9
tanh,0.1,linear,dominant,10.0,"(100,)",43.8321345183583,-42.842213607049814,1,0.9899209113084845,10
